RackID,RackNumber,RackSymbol,RackLocation,RackNotes,RackCompanyLocation,RackName,UpdatedAt,UpdatedBy
0,,未確認,未確認,,,,,
1,01,①,6号機室,,,,,
2,02,②,6号機室,,,,,
3,03,③,6号機室,,,,,
4,04,④,6号機室,,,,,
5,05,⑤,6号機室,,,,,
6,06,⑥,6号機室,,,,,
7,07,⑦,6号機室,,,,,
8,08,⑧,6号機室,,,,,
9,09,⑨,6号機室,,,,,
10,10,⑩,6号機室,,,,,
11,11,⑪,6号機室,,,,,
12,12,⑫,6号機室,,,,,
13,13,⑬,8号機,,,,,
14,14,⑭,台湾機ープレス,,,,,
15,15,⑮,台湾機２,,,,,
16,16,⑯,事務所前,,,,,
17,17,⑰,事務所前,,,,,
18,18,⑱,事務所前,,,,,
19,19,⑲,事務所前,,,,,
20,20,⑳,事務所前,,,,,
21,21,㉑,事務所前,,,,,
22,22,㉒,金型部門・機械前,,,,,
23,23,㉓,金型部門・ミガキ部署,,,,,
24,地面①-②,㉔,タイムカード隣の部屋,,,,,
25,地面②-⑧,㉕,タイムカード隣の部屋,,,,,
26,26,㉖,タイムカード隣の部屋,,,,,
27,27,㉗,タイムカード隣の部屋,,,,,
28,28,㉘,会社出入口室,,,,,
29,29,㉙,会社出入口室,,,,,
30,30,㉚テーブル,8号機－７号機－事務所,テーブル,,,,
31,31,㉛,材料置場,梱包,,,,
32,32,㉜,材料置場,梱包,,,,
33,33,㉝,材料置場,梱包,,,,
34,34,㉞,材料置場,梱包,,,,
35,35,㉟,スクラップ置場,梱包,,,,
36,36,㊱,スクラップ置場,梱包,,,,
37,37,㊲,場所未確認,梱包済金型一覧,,,,
38,38,㊳,,,,,,
39,39,㊴,,,,,,
40,40,㊵,プレス機の上,,,,,
41,41,㊶,プレス機の上,,,,,
42,42,㊷,プレス機の上,,,,,
43,43,㊸,プレス,,,,,
44,44,㊹,プレス奥,,,,,
45,45,㊺,会社入口,,,,,
46,46,㊻,会社入口,,,,,
47,47,㊼,会社入口,フレーム棚,,,,
48,48,㊽,2Fロフト,,,,,
49,49,㊾,2Fロフト,,,,,
50,50,㊿,2Fロフト,,,,,
51,51,51,2F,,,,,
52,52,52,2F,,,,,
53,53,53,2F,,,,,
54,54,54,2F,,,,,
55,55,55,2F,,,,,
56,56,56,2F,,,,,
57,57,57,2F,,,,,
58,58,58,2F　成形室入口,,,,,
60,60,60,2F　成形室,,,,,
61,61,61,2F　成形室,,,,,
62,62,62,2F　成形室,,,,,
63,63,63,2F　成形室,,,,,
64,64,64,2F　成形室,空,,,,
65,65,65,2F　成形室,,,,,
66,66,66,2F,金型置きテーブル,,2F金型テーブル,,
67,67,67,2F,台車一時置き,,台車一時置き,,
68,68,68,2F,予備,,予備,,
70,70,70,1F,新規金型（試作・正式含む）,,新規金型,,
71,71,71,1F,試作金型,,試作金型,,
72,72,72,1F,金型部門一時保管,,一時保管,,
80,80,80,2F　材料置場,,,,,
81,81,81,2F　材料置場,,,,,
82,82,82,2F　材料置場,,,,,
83,83,83,2F　材料置場,,,,,
84,84,84,2F　材料置場,,,,,
85,85,85,2F　材料置場,,,,,
86,86,86,,,,,,
87,87,87,,,,,,
88,88,88,,,,,,
89,89,89,,,,,,
90,90,90,,,,,,
91,91,91,ケース置き場,保管,,,,
92,92,92,ケース置き場,保管,,,,
93,93,94,ケース置き場,保管,,,,
94,94,94,ケース置き場,保管,,,,
95,95,95,ケース置き場,保管,,,,
96,96,96,ケース置き場,保管,,,,
100,100,100,不明,抜き型データのみ,,,,
101,101,101,,,,,,
